,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
167,"frozenset({'26000036', '26000062', '26000046', '28000009'})","frozenset({'26000004', '26000042'})",0.0134,0.0522,0.013,0.9701492537313432,18.58523474581117,0.012300519999999999,31.751299999999908
168,"frozenset({'26000036', '26000004', '26000042', '26000062'})","frozenset({'28000009', '26000046'})",0.0144,0.0251,0.013,0.9027777777777778,35.96724214254095,0.01263856,10.027542857142858
169,"frozenset({'26000036', '26000042', '26000062', '26000046'})","frozenset({'28000009', '26000004'})",0.01435,0.02875,0.013,0.9059233449477352,31.510377215573396,0.0125874375,10.324027777777777
170,"frozenset({'26000036', '26000004', '26000062', '26000046'})","frozenset({'28000009', '26000042'})",0.0143,0.03305,0.013,0.9090909090909091,27.506532801540363,0.012527384999999999,10.636449999999996
171,"frozenset({'28000009', '26000004', '26000042', '26000062'})","frozenset({'26000036', '26000046'})",0.01405,0.0253,0.013,0.9252669039145907,36.57181438397592,0.012644535,13.042414285714269
172,"frozenset({'28000009', '26000042', '26000062', '26000046'})","frozenset({'26000036', '26000004'})",0.0135,0.02595,0.013,0.9629629629629629,37.10839934346678,0.012649674999999999,26.29934999999996
173,"frozenset({'28000009', '26000004', '26000062', '26000046'})","frozenset({'26000036', '26000042'})",0.01385,0.02415,0.013,0.9386281588447654,38.86659042835467,0.0126655225,15.900614705882356
174,"frozenset({'26000062', '26000004', '26000042', '26000046'})","frozenset({'26000036', '28000009'})",0.01535,0.02235,0.013,0.8469055374592833,37.89286521070619,0.0126569275,6.385926595744678
175,"frozenset({'26000036', '26000062', '28000009'})","frozenset({'26000004', '26000042', '26000046'})",0.0139,0.02665,0.013,0.935251798561151,35.0938761186173,0.012629564999999999,15.032849999999991
176,"frozenset({'26000036', '26000042', '26000062'})","frozenset({'28000009', '26000004', '26000046'})",0.01485,0.0214,0.013,0.8754208754208753,40.90751754303156,0.01268221,7.855248648648643
177,"frozenset({'26000036', '26000004', '26000062'})","frozenset({'28000009', '26000042', '26000046'})",0.0152,0.022,0.013,0.8552631578947368,38.875598086124405,0.012665599999999999,6.757090909090909
178,"frozenset({'26000036', '26000062', '26000046'})","frozenset({'28000009', '26000004', '26000042'})",0.01495,0.0242,0.013,0.8695652173913043,35.932446999640675,0.012638209999999999,7.481133333333332
179,"frozenset({'28000009', '26000042', '26000062'})","frozenset({'26000036', '26000004', '26000046'})",0.0146,0.02215,0.013,0.8904109589041096,40.19914035684468,0.01267661,8.92288125
180,"frozenset({'28000009', '26000004', '26000062'})","frozenset({'26000036', '26000042', '26000046'})",0.01485,0.0215,0.013,0.8754208754208753,40.7172500195756,0.012680724999999999,7.85444594594594
181,"frozenset({'28000009', '26000062', '26000046'})","frozenset({'26000036', '26000004', '26000042'})",0.01415,0.0224,0.013,0.9187279151943463,41.01463907117617,0.01268304,12.028730434782606
182,"frozenset({'26000036', '26000004', '26000062'})",frozenset({'28000008'}),0.0152,0.28105,0.01355,0.8914473684210527,3.171846178335003,0.00927804,6.623054545454547
183,"frozenset({'26000036', '28000008', '26000062'})",frozenset({'26000004'}),0.0138,0.11605,0.01355,0.9818840579710145,8.460870814054411,0.011948509999999999,48.79404000000008
