index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
4140,Master,3,6,0,2,4,2,0,2,4.125,4.6575401062127915,86.82214672697134,104,67.5,0.0,7955,2469,1.3999999999999997,15,2,3062.5,8,5,1,1,1
4141,Champion,1,6,0,2,1,1,5,1,4.0,0.0,0.0,103,70.0,0.5,8333,2484,1.25,16,2,3031.25,8,3,2,1,1
4142,Challenger,1,6,0,2,3,1,4,0,3.5,2270.787181488612,61410.067968552416,85,77.5,0.0,7737,2966,1.6166666666666665,11,0,2900.0,8,5,0,1,1
4143,Master,1,5,1,2,4,2,1,1,3.0,2297.5796298298433,103014.7002034913,94,84.0,12.666666666666666,6046,1144,1.8499999999999999,11,1,3450.0,8,4,0,2,1
4144,Challenger,3,5,1,2,3,5,0,0,3.0,6974.562343759759,309657.6778523861,95,81.0,16.333333333333332,7307,1955,2.35,6,2,1906.25,8,5,2,1,1
4145,Challenger,3,7,0,1,1,2,4,1,4.0,0.0,0.0,89,68.57142857142857,1.0,8440,1386,1.3285714285714285,21,4,2768.75,8,3,1,1,0
4146,Challenger,2,6,0,2,4,2,1,1,4.0,6705.47310156804,229628.16577536738,101,67.5,0.0,11162,2782,1.4166666666666667,8,0,2937.5,8,3,1,0,2
4147,Challenger,3,6,1,1,0,2,4,2,5.267857142857143,0.0,0.0,86,57.5,15.0,9209,2782,1.542857142857143,6,4,4475.0,7,3,1,1,1
4148,Master,3,5,0,3,2,2,3,1,4.25,2183.890179588962,55653.067165112196,104,72.0,0.8666666666666667,9305,2276,1.1400000000000001,7,3,2512.5,8,5,1,2,1
4149,Champion,1,4,1,3,0,1,5,2,4.25,8815.726584836213,234700.7881801316,104,63.75,5.65,10654,1057,3.44,4,2,3793.75,8,5,1,1,2
4150,Challenger,2,6,0,2,3,1,1,3,4.25,2782.6663121663832,94507.57951389428,78,67.5,0.0,8118,2241,1.5333333333333334,11,4,2187.5,8,5,2,1,1
4151,Challenger,3,6,0,2,3,1,2,2,3.625,1955.1513776006263,54407.8590993199,93,85.0,0.0,2955,2175,1.1500000000000001,27,2,2750.0,8,5,0,1,1
4152,Fun Deck,3,6,0,2,0,0,2,6,4.75,0.0,0.0,72,65.0,5.0,10643,1228,1.5499999999999998,6,6,2750.0,8,3,2,0,1
4153,Master,3,5,1,2,0,2,2,4,4.5,0.0,0.0,104,78.0,16.333333333333332,10635,2434,2.216666666666667,5,5,2612.5,8,4,0,0,2
4154,Challenger,1,5,0,3,1,0,4,3,4.125,6235.5601973734565,162605.84963963338,80,75.0,0.5,6596,1692,1.44,5,3,3368.75,8,5,0,1,3
4155,Master,2,6,0,2,2,1,2,3,4.0,1933.1652062515807,72154.80021019884,104,80.0,0.0,9555,3218,1.4333333333333333,22,4,1825.0,8,4,1,1,1
