index,rank,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
5738,Master,6,0,2,0,1,6,1,4.25,4620.068656845037,121103.91132995364,104,72.5,0.55,12345,2186,1.5833333333333333,6,4,3256.25,8,5,1,1,1
5739,Challenger,7,0,1,2,2,1,3,3.875,0.0,0.0,104,66.42857142857143,0.0,10526,1811,1.5285714285714285,9,5,3462.5,8,4,1,0,1
5740,Challenger,6,0,2,3,1,0,4,4.0,0.0,0.0,85,67.5,0.0,6684,1946,1.55,7,4,3537.5,8,5,1,0,2
5741,Challenger,6,0,2,3,5,0,0,2.75,17578.03888237895,705826.2057553953,104,92.5,1.5,6383,2080,1.4166666666666667,10,2,2256.25,8,5,2,2,1
5742,Challenger,6,0,2,1,2,1,4,3.625,20317.14679112537,563881.0512731356,94,82.5,0.0,8563,2945,1.3499999999999999,10,4,2031.25,8,3,1,0,2
5743,Challenger,5,0,3,2,2,3,1,3.5,0.0,0.0,103,75.0,0.3333333333333333,8077,1771,0.9200000000000002,15,2,2468.75,8,6,3,2,1
5744,Challenger,5,1,2,3,3,2,0,4.125,0.0,0.0,104,75.0,11.333333333333334,11186,1595,1.1666666666666667,12,1,3312.5,8,6,1,1,1
5745,Challenger,5,1,2,1,1,4,2,4.125,2338.603553944842,62393.821708042604,82,78.0,11.333333333333334,7918,1735,1.3666666666666665,25,3,2331.25,8,4,2,2,0
5746,Master,5,0,3,2,2,1,3,3.125,2680.0762984699745,109227.42372863428,103,69.0,0.0,6785,3257,1.44,5,3,3387.5,8,5,1,1,2
5747,Challenger,5,0,3,4,3,1,0,4.5,1689.635517747238,43110.26862322488,100,69.0,1.0,8373,2349,1.64,15,1,2368.75,8,5,2,2,1
5748,Challenger,5,1,2,1,1,3,3,3.625,2181.1831627868464,71569.45900989778,69,72.0,6.666666666666667,4630,1560,3.1,6,3,3212.5,8,3,0,0,2
5749,Master,7,0,1,1,3,3,1,4.5,0.0,0.0,104,81.42857142857143,1.0,14541,2500,1.4714285714285715,11,3,2350.0,8,4,2,1,0
5750,Master,6,0,2,2,1,3,2,3.875,26569.219251577033,703286.644044354,104,72.5,4.0,9364,2322,1.2166666666666666,8,4,2031.25,8,4,1,2,0
5751,Challenger,6,0,2,1,1,4,2,3.75,1540.1886125612637,40948.49896695303,91,70.0,0.0,8314,1498,1.2833333333333334,20,5,2125.0,8,4,0,1,1
5752,Challenger,6,1,1,3,2,0,3,3.375,1540.1886125612637,40948.49896695303,102,90.0,24.5,6539,1466,2.3428571428571425,9,3,3075.0,8,5,1,1,0
5753,Challenger,7,0,1,1,2,2,3,4.125,28.105510388546673,273.386788948352,90,72.85714285714286,0.0,9089,2374,1.4571428571428573,7,5,2650.0,8,4,1,0,1
5754,Challenger,6,0,2,4,2,2,0,3.375,0.0,0.0,103,77.5,3.0,9360,1489,1.4000000000000001,12,0,2687.5,8,4,1,1,1
5755,Challenger,3,1,4,3,1,4,0,3.982142857142857,0.0,0.0,81,65.0,8.0,7156,1805,1.8499999999999999,3,0,3237.5,7,5,1,3,2
5756,Master,5,1,2,3,0,3,2,4.125,0.0,0.0,100,78.0,10.5,8300,1332,1.25,25,2,3068.75,8,5,1,0,2
5757,Challenger,5,1,2,1,3,2,2,3.875,3324.5851928718116,73941.98873563061,79,66.0,10.0,6009,1622,1.4000000000000001,7,3,3800.0,8,5,0,0,2
5758,Challenger,8,0,0,1,2,1,4,4.375,0.0,0.0,72,71.25,0.0,7376,1482,1.4125,27,4,3637.5,8,5,0,0,0
