index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles,winner
7754,Master,1,5,1,2,3,2,2,1,3.5,0.0,0.0,103,84.0,11.333333333333334,7930,3587,1.9333333333333333,9,1,2712.5,8,4,1,1,1,True
7755,Challenger,2,8,0,0,2,2,1,3,3.75,0.0,0.0,80,84.375,0.0,8014,1891,1.4874999999999998,26,3,2550.0,8,3,1,0,0,True
7756,Master,1,4,1,3,0,1,6,1,4.25,15.351492545422632,197.16468622464194,104,63.75,5.65,9896,832,3.3200000000000003,4,3,3800.0,8,4,1,1,2,True
7757,Challenger,1,7,0,1,2,4,1,1,4.875,0.0,0.0,104,72.85714285714286,0.0,12695,2964,1.3571428571428572,16,2,2250.0,8,4,1,0,1,True
7758,Challenger,2,6,1,1,2,0,1,5,3.875,18.292263610315185,595.3245571509309,81,70.0,15.0,7738,1155,1.342857142857143,7,5,4106.25,8,4,0,0,1,True
7759,Master,1,4,1,3,3,2,1,2,3.25,1610.4542332138437,33550.5070117165,102,90.0,7.5,4932,2869,1.2,8,2,3325.0,8,4,0,0,3,True
7760,Challenger,3,7,0,1,2,3,1,2,4.0,0.0,0.0,104,94.28571428571429,0.0,9239,3469,1.6285714285714283,11,3,2175.0,8,3,2,0,1,True
7761,Challenger,3,7,1,0,0,2,2,4,4.375,0.0,0.0,83,77.14285714285714,40.0,8756,1153,2.4375,21,4,2931.25,8,4,0,0,0,True
7762,Challenger,2,4,1,3,3,2,1,2,3.25,1610.4542332138437,33550.50701171649,97,90.0,7.5,4693,2649,1.2,8,2,3325.0,8,4,0,0,3,True
7763,Challenger,3,6,0,2,2,3,3,0,3.875,0.0,0.0,104,80.0,3.0,7803,2135,1.2833333333333334,29,1,2287.5,8,5,0,1,1,True
7764,Master,1,7,0,1,1,2,5,0,4.267857142857143,0.0,0.0,104,81.42857142857143,0.0,10177,3079,1.6285714285714286,25,2,1550.0,7,3,2,1,1,True
7765,Challenger,3,8,0,0,2,4,0,2,4.5,0.0,0.0,93,67.5,0.0,11434,2087,1.3749999999999998,9,2,3762.5,8,5,0,0,0,True
7766,Master,1,7,0,1,4,0,1,3,3.25,0.0,0.0,103,94.28571428571429,0.0,8845,1266,1.0999999999999999,23,3,1931.25,8,4,1,1,0,True
7767,Challenger,1,5,1,2,3,4,0,1,3.0,412.1650219004229,18002.130183851943,104,90.0,10.0,7090,2659,1.1,7,1,2862.5,8,4,1,0,2,True
